Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Selection, [D], 100000, Sorted, -550
Bubble, [D], 100000, Unsorted, -550
Bubble, [D], 100000, Sorted, -650
Insertion, [D], 100000, Unsorted, -650
Insertion, [D], 100000, Sorted, -750
Merge, [D], 100000, Unsorted, -750
Merge, [D], 100000, Sorted, -650
Quick, [D], 100000, Unsorted, -750
Quick, [D], 100000, Sorted, -650
Heap, [D], 100000, Unsorted, -650
Heap, [D], 100000, Sorted, -650
Shell, [D], 100000, Unsorted, 22884250
Shell, [D], 100000, Sorted, 3658850
Radix, [D], 100000, Unsorted, 55007750
Radix, [D], 100000, Sorted, 59146650
Selection, [Ljava.lang.String;], 100000, Unsorted, 950
Selection, [Ljava.lang.String;], 100000, Sorted, -350
Bubble, [Ljava.lang.String;], 100000, Unsorted, -450
Bubble, [Ljava.lang.String;], 100000, Sorted, -550
Insertion, [Ljava.lang.String;], 100000, Unsorted, -650
Insertion, [Ljava.lang.String;], 100000, Sorted, -550
Merge, [Ljava.lang.String;], 100000, Unsorted, -550
Merge, [Ljava.lang.String;], 100000, Sorted, -450
Quick, [Ljava.lang.String;], 100000, Unsorted, -450
Quick, [Ljava.lang.String;], 100000, Sorted, -350
Heap, [Ljava.lang.String;], 100000, Unsorted, -650
Heap, [Ljava.lang.String;], 100000, Sorted, -550
Shell, [Ljava.lang.String;], 100000, Unsorted, 667338550
Shell, [Ljava.lang.String;], 100000, Sorted, 224903650
Radix, [Ljava.lang.String;], 100000, Unsorted, 79473750
Radix, [Ljava.lang.String;], 100000, Sorted, 81165750
Selection, [I], 500000, Unsorted, 2050
Selection, [I], 500000, Sorted, -450
Bubble, [I], 500000, Unsorted, -550
Bubble, [I], 500000, Sorted, -650
Insertion, [I], 500000, Unsorted, -650
Insertion, [I], 500000, Sorted, -650
Merge, [I], 500000, Unsorted, -750
Merge, [I], 500000, Sorted, -750
Quick, [I], 500000, Unsorted, -650
Quick, [I], 500000, Sorted, -750
Heap, [I], 500000, Unsorted, -750
Heap, [I], 500000, Sorted, -750
Shell, [I], 500000, Unsorted, 70598250
Shell, [I], 500000, Sorted, 10957150
Radix, [I], 500000, Unsorted, 28779050
Radix, [I], 500000, Sorted, 28191150
Selection, [D], 500000, Unsorted, 950
Selection, [D], 500000, Sorted, -550
Bubble, [D], 500000, Unsorted, -450
Bubble, [D], 500000, Sorted, -550
Insertion, [D], 500000, Unsorted, -650
Insertion, [D], 500000, Sorted, -650
Merge, [D], 500000, Unsorted, -650
