Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Merge, [I], 100, Sorted, -50
Quick, [I], 100, Unsorted, -450
Quick, [I], 100, Sorted, -350
Heap, [I], 100, Unsorted, -350
Heap, [I], 100, Sorted, -350
Shell, [I], 100, Unsorted, 750
Shell, [I], 100, Sorted, 750
Radix, [I], 100, Unsorted, 5450
Radix, [I], 100, Sorted, 29550
Selection, [D], 100, Unsorted, -250
Selection, [D], 100, Sorted, -250
Bubble, [D], 100, Unsorted, 14150
Bubble, [D], 100, Sorted, 3550
Insertion, [D], 100, Unsorted, 150
Insertion, [D], 100, Sorted, 150
Merge, [D], 100, Unsorted, -450
Merge, [D], 100, Sorted, -350
Quick, [D], 100, Unsorted, -450
Quick, [D], 100, Sorted, -350
Heap, [D], 100, Unsorted, -550
Heap, [D], 100, Sorted, -550
Shell, [D], 100, Unsorted, 850
Shell, [D], 100, Sorted, 450
Radix, [D], 100, Unsorted, 63950
Radix, [D], 100, Sorted, 34550
Selection, [Ljava.lang.String;], 100, Unsorted, -350
Selection, [Ljava.lang.String;], 100, Sorted, -650
Bubble, [Ljava.lang.String;], 100, Unsorted, 72150
Bubble, [Ljava.lang.String;], 100, Sorted, 18150
Insertion, [Ljava.lang.String;], 100, Unsorted, 1250
Insertion, [Ljava.lang.String;], 100, Sorted, 850
Merge, [Ljava.lang.String;], 100, Unsorted, -650
Merge, [Ljava.lang.String;], 100, Sorted, -650
Quick, [Ljava.lang.String;], 100, Unsorted, -650
Quick, [Ljava.lang.String;], 100, Sorted, -650
Heap, [Ljava.lang.String;], 100, Unsorted, -750
Heap, [Ljava.lang.String;], 100, Sorted, -550
Shell, [Ljava.lang.String;], 100, Unsorted, 121550
Shell, [Ljava.lang.String;], 100, Sorted, 182550
Radix, [Ljava.lang.String;], 100, Unsorted, 80150
Radix, [Ljava.lang.String;], 100, Sorted, 90050
Selection, [I], 1000, Unsorted, -250
Selection, [I], 1000, Sorted, -450
Bubble, [I], 1000, Unsorted, 745150
Bubble, [I], 1000, Sorted, 165450
Insertion, [I], 1000, Unsorted, 250
Insertion, [I], 1000, Sorted, -50
Merge, [I], 1000, Unsorted, -550
Merge, [I], 1000, Sorted, -250
Quick, [I], 1000, Unsorted, -450
Quick, [I], 1000, Sorted, -350
Heap, [I], 1000, Unsorted, -350
Heap, [I], 1000, Sorted, -450
Shell, [I], 1000, Unsorted, 5350
Shell, [I], 1000, Sorted, 5050
Radix, [I], 1000, Unsorted, 58150
Radix, [I], 1000, Sorted, 38550
Selection, [D], 1000, Unsorted, -550
Selection, [D], 1000, Sorted, 50
Bubble, [D], 1000, Unsorted, 861350
Bubble, [D], 1000, Sorted, 277150
Insertion, [D], 1000, Unsorted, 1150
Insertion, [D], 1000, Sorted, 1350
Merge, [D], 1000, Unsorted, -450
Merge, [D], 1000, Sorted, -250
Quick, [D], 1000, Unsorted, -550
Quick, [D], 1000, Sorted, -650
Heap, [D], 1000, Unsorted, -650
Heap, [D], 1000, Sorted, -550
Shell, [D], 1000, Unsorted, 9450
Shell, [D], 1000, Sorted, 21350
Radix, [D], 1000, Unsorted, 510150
Radix, [D], 1000, Sorted, 537250
Selection, [Ljava.lang.String;], 1000, Unsorted, -350
Selection, [Ljava.lang.String;], 1000, Sorted, -450
Bubble, [Ljava.lang.String;], 1000, Unsorted, 3986550
Bubble, [Ljava.lang.String;], 1000, Sorted, 2944550
Insertion, [Ljava.lang.String;], 1000, Unsorted, 36450
Insertion, [Ljava.lang.String;], 1000, Sorted, 93450
Merge, [Ljava.lang.String;], 1000, Unsorted, -350
Merge, [Ljava.lang.String;], 1000, Sorted, -150
Quick, [Ljava.lang.String;], 1000, Unsorted, -250
Quick, [Ljava.lang.String;], 1000, Sorted, -50
Heap, [Ljava.lang.String;], 1000, Unsorted, -250
Heap, [Ljava.lang.String;], 1000, Sorted, 50
Shell, [Ljava.lang.String;], 1000, Unsorted, 2013650
Shell, [Ljava.lang.String;], 1000, Sorted, 1962150
Radix, [Ljava.lang.String;], 1000, Unsorted, 1060450
Radix, [Ljava.lang.String;], 1000, Sorted, 894850
Selection, [I], 10000, Unsorted, 250
Selection, [I], 10000, Sorted, -350
Bubble, [I], 10000, Unsorted, 101308250
Bubble, [I], 10000, Sorted, 31131050
Insertion, [I], 10000, Unsorted, 7250
Insertion, [I], 10000, Sorted, 7550
Merge, [I], 10000, Unsorted, -350
Merge, [I], 10000, Sorted, -150
Quick, [I], 10000, Unsorted, -350
Quick, [I], 10000, Sorted, -250
Heap, [I], 10000, Unsorted, -250
Heap, [I], 10000, Sorted, -250
Shell, [I], 10000, Unsorted, 89850
Shell, [I], 10000, Sorted, 99450
Radix, [I], 10000, Unsorted, 514250
Radix, [I], 10000, Sorted, 424150
Selection, [D], 10000, Unsorted, -450
Selection, [D], 10000, Sorted, -550
Bubble, [D], 10000, Unsorted, 92846550
Bubble, [D], 10000, Sorted, 16977050
Insertion, [D], 10000, Unsorted, 10050
Insertion, [D], 10000, Sorted, 10050
Merge, [D], 10000, Unsorted, -350
Merge, [D], 10000, Sorted, -350
Quick, [D], 10000, Unsorted, -350
Quick, [D], 10000, Sorted, -550
Heap, [D], 10000, Unsorted, -650
Heap, [D], 10000, Sorted, -650
Shell, [D], 10000, Unsorted, 135150
Shell, [D], 10000, Sorted, 174650
Radix, [D], 10000, Unsorted, 3155650
Radix, [D], 10000, Sorted, 3296450
Selection, [Ljava.lang.String;], 10000, Unsorted, -50
Selection, [Ljava.lang.String;], 10000, Sorted, -250
Bubble, [Ljava.lang.String;], 10000, Unsorted, 549392750
Bubble, [Ljava.lang.String;], 10000, Sorted, 557081650
Insertion, [Ljava.lang.String;], 10000, Unsorted, 331050
Insertion, [Ljava.lang.String;], 10000, Sorted, 237950
Merge, [Ljava.lang.String;], 10000, Unsorted, -350
Merge, [Ljava.lang.String;], 10000, Sorted, -350
Quick, [Ljava.lang.String;], 10000, Unsorted, -450
Quick, [Ljava.lang.String;], 10000, Sorted, -450
Heap, [Ljava.lang.String;], 10000, Unsorted, -450
Heap, [Ljava.lang.String;], 10000, Sorted, -350
Shell, [Ljava.lang.String;], 10000, Unsorted, 26002750
Shell, [Ljava.lang.String;], 10000, Sorted, 21586850
Radix, [Ljava.lang.String;], 10000, Unsorted, 7632150
Radix, [Ljava.lang.String;], 10000, Sorted, 8022150
Selection, [I], 50000, Unsorted, 650
Selection, [I], 50000, Sorted, 250
Bubble, [I], 50000, Unsorted, 2595676050
Bubble, [I], 50000, Sorted, 381115450
Insertion, [I], 50000, Unsorted, 28050
Insertion, [I], 50000, Sorted, 24950
Merge, [I], 50000, Unsorted, -350
Merge, [I], 50000, Sorted, -450
Quick, [I], 50000, Unsorted, -350
Quick, [I], 50000, Sorted, -550
Heap, [I], 50000, Unsorted, -650
Heap, [I], 50000, Sorted, -450
Shell, [I], 50000, Unsorted, 403850
Shell, [I], 50000, Sorted, 400550
Radix, [I], 50000, Unsorted, 2316050
Radix, [I], 50000, Sorted, 2570350
Selection, [D], 50000, Unsorted, -50
Selection, [D], 50000, Sorted, -350
Bubble, [D], 50000, Unsorted, 2938120550
Bubble, [D], 50000, Sorted, 437452350
Insertion, [D], 50000, Unsorted, 50750
Insertion, [D], 50000, Sorted, 39050
Merge, [D], 50000, Unsorted, -350
Merge, [D], 50000, Sorted, -350
Quick, [D], 50000, Unsorted, -450
Quick, [D], 50000, Sorted, -350
Heap, [D], 50000, Unsorted, -450
Heap, [D], 50000, Sorted, -450
Shell, [D], 50000, Unsorted, 797050
Shell, [D], 50000, Sorted, 794750
Radix, [D], 50000, Unsorted, 16215550
Radix, [D], 50000, Sorted, 16361450
Selection, [Ljava.lang.String;], 50000, Unsorted, 250
Selection, [Ljava.lang.String;], 50000, Sorted, -50
Bubble, [Ljava.lang.String;], 50000, Unsorted, 17789443450
Bubble, [Ljava.lang.String;], 50000, Sorted, 21294895550
Insertion, [Ljava.lang.String;], 50000, Unsorted, 2108350
Insertion, [Ljava.lang.String;], 50000, Sorted, 2053450
Merge, [Ljava.lang.String;], 50000, Unsorted, 150
Merge, [Ljava.lang.String;], 50000, Sorted, -350
Quick, [Ljava.lang.String;], 50000, Unsorted, -450
Quick, [Ljava.lang.String;], 50000, Sorted, -350
Heap, [Ljava.lang.String;], 50000, Unsorted, -350
Heap, [Ljava.lang.String;], 50000, Sorted, -350
Shell, [Ljava.lang.String;], 50000, Unsorted, 150517450
Shell, [Ljava.lang.String;], 50000, Sorted, 95902750
Radix, [Ljava.lang.String;], 50000, Unsorted, 40977750
Radix, [Ljava.lang.String;], 50000, Sorted, 38932150
Selection, [I], 100000, Unsorted, 1750
Selection, [I], 100000, Sorted, 19950
Bubble, [I], 100000, Unsorted, 10699961750
Bubble, [I], 100000, Sorted, 1732801550
Insertion, [I], 100000, Unsorted, 59350
Insertion, [I], 100000, Sorted, 49550
Merge, [I], 100000, Unsorted, -450
Merge, [I], 100000, Sorted, -450
Quick, [I], 100000, Unsorted, -450
Quick, [I], 100000, Sorted, -350
Heap, [I], 100000, Unsorted, -650
Heap, [I], 100000, Sorted, -550
Shell, [I], 100000, Unsorted, 855850
Shell, [I], 100000, Sorted, 857250
Radix, [I], 100000, Unsorted, 4944150
Radix, [I], 100000, Sorted, 5078850
Selection, [D], 100000, Unsorted, 350
Selection, [D], 100000, Sorted, -150
Bubble, [D], 100000, Unsorted, 12767547850
Bubble, [D], 100000, Sorted, 1823816450
Insertion, [D], 100000, Unsorted, 87250
Insertion, [D], 100000, Sorted, 80350
Merge, [D], 100000, Unsorted, -350
Merge, [D], 100000, Sorted, -350
Quick, [D], 100000, Unsorted, -350
Quick, [D], 10
